tick,unit_id,team,type,row,col,hp,status,action,target_id,damage_dealt
0,A_B1,A,Barbarian,0,0,10,alive,hold,,0
0,A_B2,A,Barbarian,1,0,10,alive,hold,,0
0,A_B3,A,Barbarian,2,1,10,alive,hold,,0
0,A_B4,A,Barbarian,3,1,10,alive,hold,,0
0,B_AR1,B,Archer,0,4,6,alive,hold,,0
0,B_AR2,B,Archer,1,4,6,alive,hold,,0
0,B_AR3,B,Archer,2,3,6,alive,hold,,0
0,B_AR4,B,Archer,3,3,6,alive,hold,,0
1,A_B1,A,Barbarian,0,2,8,alive,move,,0
1,A_B2,A,Barbarian,1,2,8,alive,move,,0
1,A_B3,A,Barbarian,2,2,8,alive,move,,0
1,A_B4,A,Barbarian,3,2,8,alive,move,,0
1,B_AR1,B,Archer,0,4,6,alive,attack,A_B1,2
1,B_AR2,B,Archer,1,4,6,alive,attack,A_B2,2
1,B_AR3,B,Archer,2,3,6,alive,attack,A_B3,2
1,B_AR4,B,Archer,3,3,6,alive,attack,A_B4,2
2,A_B1,A,Barbarian,0,3,6,alive,move,,0
2,A_B2,A,Barbarian,1,2,6,alive,attack,B_AR3,1
2,A_B3,A,Barbarian,2,2,6,alive,attack,B_AR3,1
2,A_B4,A,Barbarian,3,2,6,alive,attack,B_AR4,1
2,B_AR1,B,Archer,0,4,6,alive,attack,A_B1,2
2,B_AR2,B,Archer,1,4,6,alive,attack,A_B2,2
2,B_AR3,B,Archer,2,3,4,alive,attack,A_B3,2
2,B_AR4,B,Archer,3,3,5,alive,attack,A_B4,2
3,A_B1,A,Barbarian,0,3,4,alive,attack,B_AR1,1
3,A_B2,A,Barbarian,1,2,4,alive,attack,B_AR3,1
3,A_B3,A,Barbarian,2,2,4,alive,attack,B_AR3,1
3,A_B4,A,Barbarian,3,2,4,alive,attack,B_AR4,1
3,B_AR1,B,Archer,0,4,5,alive,attack,A_B1,2
3,B_AR2,B,Archer,1,4,6,alive,attack,A_B2,2
3,B_AR3,B,Archer,2,3,2,alive,attack,A_B3,2
3,B_AR4,B,Archer,3,3,4,alive,attack,A_B4,2
4,A_B1,A,Barbarian,0,3,2,alive,attack,B_AR1,1
4,A_B2,A,Barbarian,1,2,2,alive,attack,B_AR3,1
4,A_B3,A,Barbarian,2,2,2,alive,attack,B_AR3,1
4,A_B4,A,Barbarian,3,2,2,alive,attack,B_AR4,1
4,B_AR1,B,Archer,0,4,4,alive,attack,A_B1,2
4,B_AR2,B,Archer,1,4,6,alive,attack,A_B2,2
4,B_AR3,B,Archer,2,3,0,dead,dead,A_B3,2
4,B_AR4,B,Archer,3,3,3,alive,attack,A_B4,2
5,A_B1,A,Barbarian,0,3,0,dead,dead,B_AR1,1
5,A_B2,A,Barbarian,1,3,0,dead,dead,,0
5,A_B3,A,Barbarian,2,2,2,alive,attack,B_AR4,1
5,A_B4,A,Barbarian,3,2,0,dead,dead,B_AR4,1
5,B_AR1,B,Archer,0,4,3,alive,attack,A_B1,2
5,B_AR2,B,Archer,1,4,6,alive,attack,A_B2,2
5,B_AR3,B,Archer,2,3,0,dead,dead,A_B3,2
5,B_AR4,B,Archer,3,3,1,alive,attack,A_B4,2
6,A_B1,A,Barbarian,0,3,0,dead,dead,B_AR1,1
6,A_B2,A,Barbarian,1,3,0,dead,dead,,0
6,A_B3,A,Barbarian,2,2,-4,dead,dead,B_AR4,1
6,A_B4,A,Barbarian,3,2,0,dead,dead,B_AR4,1
6,B_AR1,B,Archer,0,4,3,alive,attack,A_B3,2
6,B_AR2,B,Archer,1,4,6,alive,attack,A_B3,2
6,B_AR3,B,Archer,2,3,0,dead,dead,A_B3,2
6,B_AR4,B,Archer,3,3,0,dead,dead,A_B3,2
