tick,unit_id,team,type,row,col,hp,status,action,target_id,damage_dealt
0,A_B1,A,Barbarian,0,1,10,alive,hold,,0
0,B_B1,B,Barbarian,0,3,10,alive,hold,,0
1,A_B1,A,Barbarian,1,3,10,alive,move,,0
1,B_B1,B,Barbarian,0,3,10,alive,blocked,,0
2,A_B1,A,Barbarian,1,3,9,alive,attack,B_B1,1
2,B_B1,B,Barbarian,0,3,9,alive,attack,A_B1,1
3,A_B1,A,Barbarian,1,3,8,alive,attack,B_B1,1
3,B_B1,B,Barbarian,0,3,8,alive,attack,A_B1,1
4,A_B1,A,Barbarian,1,3,7,alive,attack,B_B1,1
4,B_B1,B,Barbarian,0,3,7,alive,attack,A_B1,1
5,A_B1,A,Barbarian,1,3,6,alive,attack,B_B1,1
5,B_B1,B,Barbarian,0,3,6,alive,attack,A_B1,1
6,A_B1,A,Barbarian,1,3,5,alive,attack,B_B1,1
6,B_B1,B,Barbarian,0,3,5,alive,attack,A_B1,1
7,A_B1,A,Barbarian,1,3,4,alive,attack,B_B1,1
7,B_B1,B,Barbarian,0,3,4,alive,attack,A_B1,1
8,A_B1,A,Barbarian,1,3,3,alive,attack,B_B1,1
8,B_B1,B,Barbarian,0,3,3,alive,attack,A_B1,1
9,A_B1,A,Barbarian,1,3,2,alive,attack,B_B1,1
9,B_B1,B,Barbarian,0,3,2,alive,attack,A_B1,1
10,A_B1,A,Barbarian,1,3,1,alive,attack,B_B1,1
10,B_B1,B,Barbarian,0,3,1,alive,attack,A_B1,1
11,A_B1,A,Barbarian,1,3,0,dead,dead,B_B1,1
11,B_B1,B,Barbarian,0,3,0,dead,dead,A_B1,1
