tick,unit_id,team,type,row,col,hp,status,action,target_id,damage_dealt
0,A_B1,A,Barbarian,0,1,10,alive,hold,,0
0,A_B2,A,Barbarian,1,1,10,alive,hold,,0
0,A_B3,A,Barbarian,1,0,10,alive,hold,,0
0,A_B4,A,Barbarian,0,0,10,alive,hold,,0
0,B_B1,B,Barbarian,0,3,10,alive,hold,,0
0,B_AR2,B,Archer,0,4,6,alive,hold,,0
0,B_B3,B,Barbarian,1,3,10,alive,hold,,0
0,B_AR4,B,Archer,1,4,6,alive,hold,,0
1,A_B1,A,Barbarian,0,2,8,alive,move,,0
1,A_B2,A,Barbarian,1,2,8,alive,move,,0
1,A_B3,A,Barbarian,1,0,10,alive,blocked,,0
1,A_B4,A,Barbarian,0,0,10,alive,blocked,,0
1,B_B1,B,Barbarian,0,3,10,alive,blocked,,0
1,B_AR2,B,Archer,0,4,6,alive,attack,A_B1,2
1,B_B3,B,Barbarian,1,3,10,alive,blocked,,0
1,B_AR4,B,Archer,1,4,6,alive,attack,A_B2,2
2,A_B1,A,Barbarian,0,2,5,alive,attack,B_B1,1
2,A_B2,A,Barbarian,1,2,5,alive,attack,B_B3,1
2,A_B3,A,Barbarian,1,1,10,alive,move,,0
2,A_B4,A,Barbarian,0,1,10,alive,move,,0
2,B_B1,B,Barbarian,0,3,9,alive,attack,A_B1,1
2,B_AR2,B,Archer,0,4,6,alive,attack,A_B1,2
2,B_B3,B,Barbarian,1,3,9,alive,attack,A_B2,1
2,B_AR4,B,Archer,1,4,6,alive,attack,A_B2,2
3,A_B1,A,Barbarian,0,2,2,alive,attack,B_B1,1
3,A_B2,A,Barbarian,1,2,2,alive,attack,B_B3,1
3,A_B3,A,Barbarian,1,1,10,alive,blocked,,0
3,A_B4,A,Barbarian,0,1,10,alive,blocked,,0
3,B_B1,B,Barbarian,0,3,8,alive,attack,A_B1,1
3,B_AR2,B,Archer,0,4,6,alive,attack,A_B1,2
3,B_B3,B,Barbarian,1,3,8,alive,attack,A_B2,1
3,B_AR4,B,Archer,1,4,6,alive,attack,A_B2,2
4,A_B1,A,Barbarian,0,2,-1,dead,dead,B_B1,1
4,A_B2,A,Barbarian,1,2,-1,dead,dead,B_B3,1
4,A_B3,A,Barbarian,1,1,10,alive,blocked,,0
4,A_B4,A,Barbarian,0,1,10,alive,blocked,,0
4,B_B1,B,Barbarian,0,3,7,alive,attack,A_B1,1
4,B_AR2,B,Archer,0,4,6,alive,attack,A_B1,2
4,B_B3,B,Barbarian,1,3,7,alive,attack,A_B2,1
4,B_AR4,B,Archer,1,4,6,alive,attack,A_B2,2
5,A_B1,A,Barbarian,0,2,-1,dead,dead,B_B1,1
5,A_B2,A,Barbarian,1,2,-1,dead,dead,B_B3,1
5,A_B3,A,Barbarian,1,2,8,alive,move,,0
5,A_B4,A,Barbarian,0,2,8,alive,move,,0
5,B_B1,B,Barbarian,0,3,7,alive,blocked,,0
5,B_AR2,B,Archer,0,4,6,alive,attack,A_B4,2
5,B_B3,B,Barbarian,1,3,7,alive,blocked,,0
5,B_AR4,B,Archer,1,4,6,alive,attack,A_B3,2
6,A_B1,A,Barbarian,0,2,-1,dead,dead,B_B1,1
6,A_B2,A,Barbarian,1,2,-1,dead,dead,B_B3,1
6,A_B3,A,Barbarian,1,2,5,alive,attack,B_B3,1
6,A_B4,A,Barbarian,0,2,5,alive,attack,B_B1,1
6,B_B1,B,Barbarian,0,3,6,alive,attack,A_B4,1
6,B_AR2,B,Archer,0,4,6,alive,attack,A_B4,2
6,B_B3,B,Barbarian,1,3,6,alive,attack,A_B3,1
6,B_AR4,B,Archer,1,4,6,alive,attack,A_B3,2
7,A_B1,A,Barbarian,0,2,-1,dead,dead,B_B1,1
7,A_B2,A,Barbarian,1,2,-1,dead,dead,B_B3,1
7,A_B3,A,Barbarian,1,2,2,alive,attack,B_B3,1
7,A_B4,A,Barbarian,0,2,2,alive,attack,B_B1,1
7,B_B1,B,Barbarian,0,3,5,alive,attack,A_B4,1
7,B_AR2,B,Archer,0,4,6,alive,attack,A_B4,2
7,B_B3,B,Barbarian,1,3,5,alive,attack,A_B3,1
7,B_AR4,B,Archer,1,4,6,alive,attack,A_B3,2
8,A_B1,A,Barbarian,0,2,-1,dead,dead,B_B1,1
8,A_B2,A,Barbarian,1,2,-1,dead,dead,B_B3,1
8,A_B3,A,Barbarian,1,2,-1,dead,dead,B_B3,1
8,A_B4,A,Barbarian,0,2,-1,dead,dead,B_B1,1
8,B_B1,B,Barbarian,0,3,4,alive,attack,A_B4,1
8,B_AR2,B,Archer,0,4,6,alive,attack,A_B4,2
8,B_B3,B,Barbarian,1,3,4,alive,attack,A_B3,1
8,B_AR4,B,Archer,1,4,6,alive,attack,A_B3,2
